        ks(1/s)        ksr(1/s)       ksnr(1/s)       kisc(1/s)         kt(1/s)        ktr(1/s)       ktnr(1/s)      krisc(1/s)       phi_sr(%)      phi_snr(%)      phi_isc(%)       phi_tr(%)      phi_tnr(%)     phi_risc(%)
    4.97279e+07     2.96632e+07     2.76591e+06     1.72988e+07     7.98439e+05     0.00000e+00     2.44623e+04     7.73976e+05        59.65096         5.56209        34.78694         0.00000         3.06377        96.93623
    4.97279e+07     2.96632e+07     2.74935e+06     1.73154e+07     7.98439e+05     0.00000e+00     2.52026e+04     7.73236e+05        59.65096         5.52879        34.82025         0.00000         3.15649        96.84351
    4.97279e+07     2.96632e+07     2.73279e+06     1.73319e+07     7.98439e+05     0.00000e+00     2.59415e+04     7.72497e+05        59.65096         5.49548        34.85355         0.00000         3.24903        96.75097
    4.97279e+07     2.96632e+07     2.71622e+06     1.73485e+07     7.98439e+05     0.00000e+00     2.66790e+04     7.71760e+05        59.65096         5.46218        34.88686         0.00000         3.34140        96.65860
    4.97279e+07     2.96632e+07     2.69966e+06     1.73651e+07     7.98439e+05     0.00000e+00     2.74151e+04     7.71024e+05        59.65096         5.42887        34.92017         0.00000         3.43359        96.56641
    4.97279e+07     2.96632e+07     2.68310e+06     1.73816e+07     7.98439e+05     0.00000e+00     2.81498e+04     7.70289e+05        59.65096         5.39556        34.95347         0.00000         3.52560        96.47440
    4.97279e+07     2.96632e+07     2.66654e+06     1.73982e+07     7.98439e+05     0.00000e+00     2.88831e+04     7.69556e+05        59.65096         5.36226        34.98678         0.00000         3.61744        96.38256
    4.97279e+07     2.96632e+07     2.64998e+06     1.74147e+07     7.98439e+05     0.00000e+00     2.96149e+04     7.68824e+05        59.65096         5.32895        35.02008         0.00000         3.70911        96.29089
    4.97279e+07     2.96632e+07     2.63341e+06     1.74313e+07     7.98439e+05     0.00000e+00     3.03454e+04     7.68093e+05        59.65096         5.29565        35.05339         0.00000         3.80060        96.19940
    4.97279e+07     2.96632e+07     2.61685e+06     1.74479e+07     7.98439e+05     0.00000e+00     3.10745e+04     7.67364e+05        59.65096         5.26234        35.08670         0.00000         3.89191        96.10809
    4.97279e+07     2.96632e+07     2.60029e+06     1.74644e+07     7.98439e+05     0.00000e+00     3.18023e+04     7.66636e+05        59.65096         5.22903        35.12000         0.00000         3.98306        96.01694
    4.97279e+07     2.96632e+07     2.58373e+06     1.74810e+07     7.98439e+05     0.00000e+00     3.25286e+04     7.65910e+05        59.65096         5.19573        35.15331         0.00000         4.07403        95.92597
    4.97279e+07     2.96632e+07     2.56716e+06     1.74976e+07     7.98439e+05     0.00000e+00     3.32536e+04     7.65185e+05        59.65096         5.16242        35.18661         0.00000         4.16483        95.83517
    4.97279e+07     2.96632e+07     2.55060e+06     1.75141e+07     7.98439e+05     0.00000e+00     3.39772e+04     7.64461e+05        59.65096         5.12912        35.21992         0.00000         4.25546        95.74454
    4.97279e+07     2.96632e+07     2.53404e+06     1.75307e+07     7.98439e+05     0.00000e+00     3.46994e+04     7.63739e+05        59.65096         5.09581        35.25323         0.00000         4.34591        95.65409
    4.97279e+07     2.96632e+07     2.51748e+06     1.75472e+07     7.98439e+05     0.00000e+00     3.54203e+04     7.63018e+05        59.65096         5.06251        35.28653         0.00000         4.43620        95.56380
    4.97279e+07     2.96632e+07     2.50091e+06     1.75638e+07     7.98439e+05     0.00000e+00     3.61398e+04     7.62299e+05        59.65096         5.02920        35.31984         0.00000         4.52631        95.47369
    4.97279e+07     2.96632e+07     2.48435e+06     1.75804e+07     7.98439e+05     0.00000e+00     3.68580e+04     7.61581e+05        59.65096         4.99589        35.35314         0.00000         4.61626        95.38374
    4.97279e+07     2.96632e+07     2.46779e+06     1.75969e+07     7.98439e+05     0.00000e+00     3.75748e+04     7.60864e+05        59.65096         4.96259        35.38645         0.00000         4.70603        95.29397
    4.97279e+07     2.96632e+07     2.45123e+06     1.76135e+07     7.98439e+05     0.00000e+00     3.82902e+04     7.60148e+05        59.65096         4.92928        35.41976         0.00000         4.79564        95.20436
    4.97279e+07     2.96632e+07     2.43466e+06     1.76301e+07     7.98439e+05     0.00000e+00     3.90043e+04     7.59434e+05        59.65096         4.89598        35.45306         0.00000         4.88508        95.11492
    4.97279e+07     2.96632e+07     2.41810e+06     1.76466e+07     7.98439e+05     0.00000e+00     3.97171e+04     7.58721e+05        59.65096         4.86267        35.48637         0.00000         4.97435        95.02565
    4.97279e+07     2.96632e+07     2.40154e+06     1.76632e+07     7.98439e+05     0.00000e+00     4.04286e+04     7.58010e+05        59.65096         4.82936        35.51967         0.00000         5.06345        94.93655
    4.97279e+07     2.96632e+07     2.38498e+06     1.76797e+07     7.98439e+05     0.00000e+00     4.11387e+04     7.57300e+05        59.65096         4.79606        35.55298         0.00000         5.15239        94.84761
    4.97279e+07     2.96632e+07     2.36842e+06     1.76963e+07     7.98439e+05     0.00000e+00     4.18474e+04     7.56591e+05        59.65096         4.76275        35.58629         0.00000         5.24116        94.75884
    4.97279e+07     2.96632e+07     2.35185e+06     1.77129e+07     7.98439e+05     0.00000e+00     4.25549e+04     7.55884e+05        59.65096         4.72945        35.61959         0.00000         5.32976        94.67024
    4.97279e+07     2.96632e+07     2.33529e+06     1.77294e+07     7.98439e+05     0.00000e+00     4.32610e+04     7.55178e+05        59.65096         4.69614        35.65290         0.00000         5.41820        94.58180
    4.97279e+07     2.96632e+07     2.31873e+06     1.77460e+07     7.98439e+05     0.00000e+00     4.39658e+04     7.54473e+05        59.65096         4.66283        35.68620         0.00000         5.50647        94.49353
    4.97279e+07     2.96632e+07     2.30217e+06     1.77626e+07     7.98439e+05     0.00000e+00     4.46693e+04     7.53769e+05        59.65096         4.62953        35.71951         0.00000         5.59458        94.40542
