        ks(1/s)        ksr(1/s)       ksnr(1/s)       kisc(1/s)         kt(1/s)        ktr(1/s)       ktnr(1/s)      krisc(1/s)       phi_sr(%)      phi_snr(%)      phi_isc(%)       phi_tr(%)      phi_tnr(%)     phi_risc(%)
    6.66079e+07     4.67080e+07     8.60426e+06     1.12956e+07     4.03583e+05     0.00000e+00     5.89075e+04     3.44675e+05        70.12387        12.91778        16.95835         0.00000        14.59614        85.40386
    6.66079e+07     4.67080e+07     8.55274e+06     1.13471e+07     4.03583e+05     0.00000e+00     6.04726e+04     3.43110e+05        70.12387        12.84043        17.03570         0.00000        14.98392        85.01608
    6.66079e+07     4.67080e+07     8.50122e+06     1.13986e+07     4.03583e+05     0.00000e+00     6.20234e+04     3.41560e+05        70.12387        12.76308        17.11305         0.00000        15.36820        84.63180
    6.66079e+07     4.67080e+07     8.44970e+06     1.14502e+07     4.03583e+05     0.00000e+00     6.35604e+04     3.40023e+05        70.12387        12.68573        17.19040         0.00000        15.74902        84.25098
    6.66079e+07     4.67080e+07     8.39817e+06     1.15017e+07     4.03583e+05     0.00000e+00     6.50835e+04     3.38500e+05        70.12387        12.60837        17.26776         0.00000        16.12642        83.87358
    6.66079e+07     4.67080e+07     8.34665e+06     1.15532e+07     4.03583e+05     0.00000e+00     6.65931e+04     3.36990e+05        70.12387        12.53102        17.34511         0.00000        16.50047        83.49953
    6.66079e+07     4.67080e+07     8.29513e+06     1.16047e+07     4.03583e+05     0.00000e+00     6.80892e+04     3.35494e+05        70.12387        12.45367        17.42246         0.00000        16.87119        83.12881
    6.66079e+07     4.67080e+07     8.24361e+06     1.16563e+07     4.03583e+05     0.00000e+00     6.95722e+04     3.34011e+05        70.12387        12.37632        17.49981         0.00000        17.23863        82.76137
    6.66079e+07     4.67080e+07     8.19208e+06     1.17078e+07     4.03583e+05     0.00000e+00     7.10421e+04     3.32541e+05        70.12387        12.29897        17.57716         0.00000        17.60284        82.39716
    6.66079e+07     4.67080e+07     8.14056e+06     1.17593e+07     4.03583e+05     0.00000e+00     7.24991e+04     3.31084e+05        70.12387        12.22161        17.65452         0.00000        17.96385        82.03615
    6.66079e+07     4.67080e+07     8.08904e+06     1.18108e+07     4.03583e+05     0.00000e+00     7.39434e+04     3.29640e+05        70.12387        12.14426        17.73187         0.00000        18.32172        81.67828
    6.66079e+07     4.67080e+07     8.03752e+06     1.18623e+07     4.03583e+05     0.00000e+00     7.53751e+04     3.28208e+05        70.12387        12.06691        17.80922         0.00000        18.67648        81.32352
    6.66079e+07     4.67080e+07     7.98599e+06     1.19139e+07     4.03583e+05     0.00000e+00     7.67945e+04     3.26789e+05        70.12387        11.98956        17.88657         0.00000        19.02817        80.97183
    6.66079e+07     4.67080e+07     7.93447e+06     1.19654e+07     4.03583e+05     0.00000e+00     7.82016e+04     3.25381e+05        70.12387        11.91221        17.96392         0.00000        19.37683        80.62317
    6.66079e+07     4.67080e+07     7.88295e+06     1.20169e+07     4.03583e+05     0.00000e+00     7.95967e+04     3.23986e+05        70.12387        11.83485        18.04128         0.00000        19.72250        80.27750
    6.66079e+07     4.67080e+07     7.83143e+06     1.20684e+07     4.03583e+05     0.00000e+00     8.09798e+04     3.22603e+05        70.12387        11.75750        18.11863         0.00000        20.06523        79.93477
    6.66079e+07     4.67080e+07     7.77990e+06     1.21200e+07     4.03583e+05     0.00000e+00     8.23512e+04     3.21232e+05        70.12387        11.68015        18.19598         0.00000        20.40503        79.59497
    6.66079e+07     4.67080e+07     7.72838e+06     1.21715e+07     4.03583e+05     0.00000e+00     8.37110e+04     3.19872e+05        70.12387        11.60280        18.27333         0.00000        20.74196        79.25804
    6.66079e+07     4.67080e+07     7.67686e+06     1.22230e+07     4.03583e+05     0.00000e+00     8.50594e+04     3.18524e+05        70.12387        11.52545        18.35068         0.00000        21.07605        78.92395
    6.66079e+07     4.67080e+07     7.62534e+06     1.22745e+07     4.03583e+05     0.00000e+00     8.63964e+04     3.17187e+05        70.12387        11.44809        18.42803         0.00000        21.40734        78.59266
    6.66079e+07     4.67080e+07     7.57381e+06     1.23261e+07     4.03583e+05     0.00000e+00     8.77222e+04     3.15861e+05        70.12387        11.37074        18.50539         0.00000        21.73585        78.26415
    6.66079e+07     4.67080e+07     7.52229e+06     1.23776e+07     4.03583e+05     0.00000e+00     8.90370e+04     3.14546e+05        70.12387        11.29339        18.58274         0.00000        22.06163        77.93837
    6.66079e+07     4.67080e+07     7.47077e+06     1.24291e+07     4.03583e+05     0.00000e+00     9.03409e+04     3.13242e+05        70.12387        11.21604        18.66009         0.00000        22.38471        77.61529
    6.66079e+07     4.67080e+07     7.41925e+06     1.24806e+07     4.03583e+05     0.00000e+00     9.16340e+04     3.11949e+05        70.12387        11.13869        18.73744         0.00000        22.70512        77.29488
    6.66079e+07     4.67080e+07     7.36772e+06     1.25321e+07     4.03583e+05     0.00000e+00     9.29165e+04     3.10667e+05        70.12387        11.06133        18.81479         0.00000        23.02290        76.97710
